fips2010,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,metro_code,areaname,county,cousub,countyname,county_town_name,pop2010,acs_2017_2,state_alpha,fmr_type,metro,fmr_pct_chg,fmr_dollar_chg
503199999,493,613,743,1046,1047,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",31,99999,Craighead County,Craighead County,96443.0,735,AR,40,1,0.0108843537414966,8
503399999,486,524,697,944,1124,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",33,99999,Crawford County,Crawford County,61948.0,679,AR,40,1,0.0265095729013255,18
503599999,628,705,833,1136,1316,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",35,99999,Crittenden County,Crittenden County,50902.0,835,AR,40,1,-0.00239520958083832,-2
503799999,520,523,696,873,948,5,NCNTY05037N05037,"Cross County, AR",37,99999,Cross County,Cross County,17870.0,670,AR,40,0,0.0388059701492537,26
503999999,473,476,633,883,886,5,NCNTY05039N05039,"Dallas County, AR",39,99999,Dallas County,Dallas County,8116.0,611,AR,40,0,0.0360065466448445,22
504199999,473,476,633,854,922,5,NCNTY05041N05041,"Desha County, AR",41,99999,Desha County,Desha County,13008.0,611,AR,40,0,0.0360065466448445,22
504399999,478,481,640,849,872,5,NCNTY05043N05043,"Drew County, AR",43,99999,Drew County,Drew County,18509.0,618,AR,40,0,0.0355987055016181,22
504599999,585,676,811,1086,1289,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",45,99999,Faulkner County,Faulkner County,113237.0,814,AR,40,1,-0.00368550368550369,-3
504799999,479,483,642,805,935,5,NCNTY05047N05047,"Franklin County, AR",47,99999,Franklin County,Franklin County,18125.0,611,AR,40,0,0.0507364975450082,31
504999999,473,476,633,859,862,5,NCNTY05049N05049,"Fulton County, AR",49,99999,Fulton County,Fulton County,12245.0,611,AR,40,0,0.0360065466448445,22
505199999,531,580,771,967,1123,5,METRO26300M26300,"Hot Springs, AR MSA",51,99999,Garland County,Garland County,96024.0,765,AR,40,1,0.00784313725490196,6
505399999,470,566,650,938,1050,5,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",53,99999,Grant County,Grant County,17853.0,622,AR,40,1,0.045016077170418,28
505599999,514,550,673,901,1099,5,NCNTY05055N05055,"Greene County, AR",55,99999,Greene County,Greene County,42090.0,658,AR,40,0,0.0227963525835866,15
505799999,489,504,641,804,873,5,NCNTY05057N05057,"Hempstead County, AR",57,99999,Hempstead County,Hempstead County,22609.0,613,AR,40,0,0.0456769983686786,28
505999999,499,554,653,856,1042,5,NCNTY05059N05059,"Hot Spring County, AR",59,99999,Hot Spring County,Hot Spring County,32923.0,649,AR,40,0,0.0061633281972265,4
506199999,404,476,633,804,922,5,NCNTY05061N05061,"Howard County, AR",61,99999,Howard County,Howard County,13789.0,611,AR,40,0,0.0360065466448445,22
506399999,473,476,633,794,895,5,NCNTY05063N05063,"Independence County, AR",63,99999,Independence County,Independence County,36647.0,611,AR,40,0,0.0360065466448445,22
506599999,473,476,633,859,862,5,NCNTY05065N05065,"Izard County, AR",65,99999,Izard County,Izard County,13696.0,611,AR,40,0,0.0360065466448445,22
506799999,404,476,633,794,975,5,NCNTY05067N05067,"Jackson County, AR",67,99999,Jackson County,Jackson County,17997.0,611,AR,40,0,0.0360065466448445,22
506999999,479,537,691,866,1076,5,METRO38220M38220,"Pine Bluff, AR MSA",69,99999,Jefferson County,Jefferson County,77435.0,659,AR,40,1,0.0485584218512898,32
507199999,486,489,651,853,923,5,NCNTY05071N05071,"Johnson County, AR",71,99999,Johnson County,Johnson County,25540.0,638,AR,40,0,0.0203761755485893,13
507399999,483,511,633,819,1034,5,NCNTY05073N05073,"Lafayette County, AR",73,99999,Lafayette County,Lafayette County,7645.0,611,AR,40,0,0.0360065466448445,22
507599999,494,497,633,849,971,5,NCNTY05075N05075,"Lawrence County, AR",75,99999,Lawrence County,Lawrence County,17415.0,611,AR,40,0,0.0360065466448445,22
507799999,473,476,633,874,1029,5,NCNTY05077N05077,"Lee County, AR",77,99999,Lee County,Lee County,10424.0,611,AR,40,0,0.0360065466448445,22
507999999,479,537,691,866,1076,5,METRO38220M38220,"Pine Bluff, AR MSA",79,99999,Lincoln County,Lincoln County,14134.0,659,AR,40,1,0.0485584218512898,32
508199999,450,476,633,804,918,5,METRO45500N05081,"Little River County, AR HUD Metro FMR Area",81,99999,Little River County,Little River County,13171.0,611,AR,40,1,0.0360065466448445,22
508399999,483,551,633,835,908,5,NCNTY05083N05083,"Logan County, AR",83,99999,Logan County,Logan County,22353.0,611,AR,40,0,0.0360065466448445,22
508599999,585,676,811,1086,1289,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",85,99999,Lonoke County,Lonoke County,68356.0,814,AR,40,1,-0.00368550368550369,-3
508799999,524,558,723,1039,1273,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",87,99999,Madison County,Madison County,15717.0,748,AR,40,1,-0.0334224598930481,-25
